"search-number","evaluation","population*","mean-strength*","stddev-strength*","egg-laying-radius*","expected-egg-quantity*","inherit-parent-strength*","num-replicates","best-fitness-so-far"
"1","10","32","54","10","7","6","false","10","7.6"
"1","40","32","59","10","9","4","true","10","8.3"
"1","130","40","60","8","5","6","false","10","9.5"
"2","10","40","58","6","4","9","false","10","9"
"2","160","36","59","7","8","6","false","10","9.6"
"3","10","36","52","5","8","8","true","10","7.4"
"3","40","32","55","7","4","10","false","10","8.3"
"3","50","36","56","9","7","7","true","10","9.2"
"4","10","24","52","9","4","6","false","10","6.6"
"4","20","36","55","5","9","4","true","10","7.5"
"4","30","40","52","9","5","7","true","10","7.8"
"4","70","32","59","10","7","9","true","10","8.6"
"4","250","40","59","9","8","9","true","10","8.9"
"4","400","36","57","5","9","9","true","10","9.3"
"4","420","40","59","7","9","8","false","10","9.5"
"5","10","32","50","10","7","5","true","10","6.7"
"5","20","28","54","5","7","8","true","10","8.9"
"5","60","32","59","5","8","8","false","10","10"
"6","10","20","52","7","4","10","true","10","5.9"
"6","20","40","52","8","8","4","true","10","6.7"
"6","30","36","51","7","7","5","true","10","7"
"6","40","28","50","6","4","9","true","10","7.1"
"6","60","20","60","5","8","9","true","10","7.8"
"6","250","40","59","8","7","10","false","10","9.6"
"7","10","36","50","7","6","10","false","10","8"
"7","60","36","59","7","7","6","false","10","8.7"
"7","300","36","54","5","8","8","false","10","9"
"7","370","36","59","8","7","8","true","10","9.5"
"8","10","40","54","7","5","7","false","10","8.4"
"8","20","32","54","8","7","10","false","10","8.7"
"8","130","32","59","8","9","8","false","10","8.9"
"8","480","32","60","6","9","8","false","10","9.7"
"9","10","32","58","6","7","9","false","10","8.8"
"9","60","32","51","5","8","8","false","10","8.9"
"9","210","32","59","9","9","8","false","10","9.4"
"10","10","24","50","5","7","5","false","10","5.7"
"10","20","32","59","8","6","7","true","10","8.7"
"10","190","36","54","7","5","7","true","10","9.1"
"10","490","40","55","7","7","8","false","10","9.3"
"11","10","32","52","10","9","9","true","10","7.1"
"11","60","32","52","5","9","8","false","10","7.8"
"11","70","40","54","9","7","6","true","10","8"
"11","110","32","56","6","6","9","false","10","8.2"
"11","150","32","57","6","7","10","false","10","8.9"
"11","170","32","60","6","7","10","false","10","9.3"
"11","470","32","59","6","7","7","true","10","9.4"
"11","500","40","60","8","6","10","false","10","9.8"
"12","10","32","57","8","7","6","true","10","8.1"
"12","50","40","60","9","4","10","true","10","9.2"
"12","270","36","57","9","9","6","false","10","9.8"
"13","10","40","54","8","7","8","false","10","9.2"
"13","60","32","59","7","7","8","false","10","9.7"
"13","80","36","57","10","7","9","true","10","9.9"
"14","10","40","54","5","7","6","false","10","7.6"
"14","40","32","54","8","8","8","false","10","7.7"
"14","100","36","59","5","8","6","false","10","8.9"
"14","110","32","59","8","8","10","true","10","9.1"
"14","230","40","60","10","7","7","false","10","9.7"
"15","10","28","59","7","7","4","false","10","7.3"
"15","50","36","54","8","5","6","true","10","7.7"
"15","110","32","60","5","9","7","true","10","9.4"
"16","10","20","54","6","7","4","false","10","5.3"
"16","20","24","55","7","7","10","false","10","7.7"
"16","70","32","54","10","8","7","true","10","8.4"
"16","100","32","59","6","5","8","false","10","9.4"
"17","10","20","57","5","6","7","false","10","6.7"
"17","50","20","59","5","9","7","true","10","7.2"
"17","80","32","59","5","8","10","false","10","9.3"
"18","10","32","56","5","8","8","true","10","7.9"
"18","30","40","54","8","7","10","false","10","8"
"18","70","36","59","7","8","6","false","10","8.4"
"18","100","36","59","8","8","10","false","10","9.9"
"19","10","40","53","8","9","3","true","10","6.4"
"19","20","32","53","8","7","10","false","10","8.7"
"19","40","28","57","10","8","9","false","10","9"
"19","230","40","57","10","7","10","true","10","10.6"
"20","10","20","50","7","4","6","true","10","5.1"
"20","20","40","59","9","5","6","true","10","8.9"
"20","140","40","60","8","4","7","false","10","9.2"
"20","280","32","56","6","9","9","false","10","9.7"
