"search-number","evaluation","population*","mean-strength*","stddev-strength*","egg-laying-radius*","expected-egg-quantity*","inherit-parent-strength*","num-replicates","best-fitness-so-far"
"1","500","40","60","8","5","6","false","10","9.5"
"2","500","36","59","7","8","6","false","10","9.6"
"3","500","36","56","9","7","7","true","10","9.2"
"4","500","40","59","7","9","8","false","10","9.5"
"5","500","32","59","5","8","8","false","10","10"
"6","500","40","59","8","7","10","false","10","9.6"
"7","500","36","59","8","7","8","true","10","9.5"
"8","500","32","60","6","9","8","false","10","9.7"
"9","500","32","59","9","9","8","false","10","9.4"
"10","500","40","55","7","7","8","false","10","9.3"
"11","500","40","60","8","6","10","false","10","9.8"
"12","500","36","57","9","9","6","false","10","9.8"
"13","500","36","57","10","7","9","true","10","9.9"
"14","500","40","60","10","7","7","false","10","9.7"
"15","500","32","60","5","9","7","true","10","9.4"
"16","500","32","59","6","5","8","false","10","9.4"
"17","500","32","59","5","8","10","false","10","9.3"
"18","500","36","59","8","8","10","false","10","9.9"
"19","500","40","57","10","7","10","true","10","10.6"
"20","500","32","56","6","9","9","false","10","9.7"
