"search-number","evaluation","population*","mean-strength*","stddev-strength*","egg-laying-radius*","expected-egg-quantity*","inherit-parent-strength*","fitness","num-replicates","best-fitness-so-far"
"1","10","32","54","10","7","6","false","7.6","10","7.6"
"1","20","20","51","10","5","8","false","6.3","10","7.6"
"1","30","32","51","9","5","6","true","6.7","10","7.6"
"1","40","32","59","10","9","4","true","8.3","10","8.3"
"1","50","32","50","5","5","9","true","7.9","10","8.3"
"1","60","20","55","10","4","6","false","6.9","10","8.3"
"1","70","32","54","8","9","6","false","7.6","10","8.3"
"1","80","32","50","8","8","4","false","6","10","8.3"
"1","90","36","52","8","7","7","true","6.9","10","8.3"
"1","100","36","52","9","4","7","true","6.9","10","8.3"
"1","110","24","58","9","9","3","true","5.4","10","8.3"
"1","120","20","57","6","7","9","true","6.2","10","8.3"
"1","130","40","60","8","5","6","false","9.5","10","9.5"
"1","140","20","57","8","5","6","false","6.6","10","9.5"
"1","150","20","52","8","6","9","false","6.7","10","9.5"
"1","160","32","57","8","6","9","true","8","10","9.5"
"1","170","28","51","8","7","9","false","8","10","9.5"
"1","180","32","59","10","9","7","false","9.3","10","9.5"
"1","190","32","50","8","7","9","false","7.2","10","9.5"
"1","200","20","52","8","5","4","true","5.2","10","9.5"
"1","210","40","54","5","9","10","true","9","10","9.5"
"1","220","24","57","5","7","7","true","8","10","9.5"
"1","230","20","56","9","9","9","true","6.1","10","9.5"
"1","240","40","54","5","5","6","true","8.2","10","9.5"
"1","250","36","58","5","9","5","false","8.4","10","9.5"
"1","260","32","54","8","4","7","true","7","10","9.5"
"1","270","40","57","5","4","7","false","9","10","9.5"
"1","280","20","59","8","4","4","true","6.2","10","9.5"
"1","290","20","54","8","9","4","false","5.1","10","9.5"
"1","300","36","54","6","6","9","false","7.5","10","9.5"
"1","310","32","56","10","6","9","true","8.4","10","9.5"
"1","320","24","57","7","6","7","false","7.5","10","9.5"
"1","330","40","50","7","4","9","false","7.1","10","9.5"
