"search-number","evaluation","population*","mean-strength*","stddev-strength*","egg-laying-radius*","expected-egg-quantity*","inherit-parent-strength*","num-replicates","best-fitness-so-far"
"1","10","40","58","8","5","5","false","10","58.51984767670638"
"1","20","20","51","7","8","5","true","10","70.22733871658461"
"1","110","32","59","8","7","6","true","10","76.52124188102536"
"1","140","20","50","9","6","4","true","10","79.33458877314322"
"1","180","20","59","8","7","10","true","10","83.80698433811885"
"1","220","20","60","10","5","5","true","10","89.0366746674216"
"2","10","32","52","5","7","10","true","10","62.19635152054826"
"2","20","20","53","7","7","5","true","10","72.03291858819449"
"2","40","24","60","7","6","8","true","10","82.04417973622401"
"2","250","40","50","10","8","8","true","10","87.89409049947366"
"2","500","40","55","10","5","8","true","10","90.13949826015985"
"3","10","24","57","8","4","8","true","10","77.19529655656405"
"3","20","32","54","8","7","10","true","10","79.35131202553427"
"3","60","20","59","9","5","8","true","10","85.59367750940439"
"3","380","28","59","10","4","8","true","10","88.1350067384765"
"4","10","32","57","9","8","6","false","10","57.57872907530657"
"4","20","40","60","8","7","7","true","10","81.2989584593128"
"4","100","20","59","9","7","9","true","10","88.43053935236128"
"4","180","36","50","10","8","10","true","10","88.63395739176822"
"5","10","32","55","6","7","10","true","10","70.44871335352175"
"5","30","20","55","8","8","5","true","10","75.15318103606126"
"5","40","20","54","8","4","6","true","10","76.02593252969734"
"5","80","40","58","8","7","9","true","10","81.94209309570962"
"5","390","32","60","8","7","4","true","10","83.34989184964952"
"5","420","32","54","10","4","3","true","10","84.28301677326047"
"5","440","32","54","10","6","4","true","10","85.3894180777705"
"6","10","20","51","5","4","7","false","10","51.08062602481776"
"6","20","40","52","6","6","9","true","10","69.56546136315026"
"6","40","24","57","7","6","4","true","10","70.65340905415009"
"6","50","32","59","8","4","8","true","10","82.54605072743347"
"6","80","40","50","10","7","7","true","10","83.62643050709491"
"6","190","20","57","10","6","5","true","10","88.25312127032828"
"6","200","24","60","10","4","6","true","10","91.84521467988021"
"7","10","20","57","5","7","7","false","10","57.13209857196476"
"7","20","40","59","5","7","5","true","10","70.54049990976155"
"7","50","36","58","5","9","10","true","10","70.68513406213211"
"7","160","36","57","6","7","6","true","10","72.5195112886967"
"7","180","32","55","8","9","7","true","10","77.34140914785009"
"7","230","20","58","8","9","4","true","10","78.61135596096403"
"7","240","40","57","8","4","6","true","10","80.14038049957476"
"7","270","40","59","8","4","9","true","10","85.24255791564637"
"7","340","32","54","10","7","8","true","10","89.09485060388369"
"8","10","24","52","8","4","4","true","10","74.19207121476761"
"8","20","20","57","6","7","8","true","10","74.63591436132"
"8","50","20","52","10","6","7","true","10","88.35095077670893"
"8","250","32","51","10","9","9","true","10","88.51642763520402"
"8","450","32","57","10","6","4","true","10","89.95109345247057"
"9","10","40","52","9","6","8","false","10","52.41754175516032"
"9","20","32","59","7","8","7","true","10","78.91253391384761"
"9","260","32","54","8","9","7","true","10","79.06835617262807"
"9","390","32","58","10","7","8","true","10","92.50711176798227"
"10","10","32","57","10","7","8","true","10","87.18145436161772"
"10","80","20","59","9","4","8","true","10","88.45161421804941"
"11","10","20","55","5","4","5","true","10","62.71212478081053"
"11","20","36","50","9","7","7","true","10","80.08880259228549"
"11","50","24","52","10","4","5","true","10","84.62621007203782"
"11","90","20","54","10","7","9","true","10","86.02026873734641"
"12","10","40","52","5","4","8","true","10","63.89608310473145"
"12","30","32","59","7","4","3","true","10","71.80160022502642"
"12","40","20","54","8","5","7","true","10","78.62918235995008"
"12","80","24","58","8","9","10","true","10","82.7744139236502"
"12","200","32","58","10","5","6","true","10","90.54456281010468"
"13","10","32","50","5","8","6","true","10","64.40767872609982"
"13","30","20","51","7","9","9","true","10","73.86692819292156"
"13","60","32","56","8","4","4","true","10","78.93240213634269"
"13","120","36","60","8","6","6","true","10","80.30210329867748"
"13","290","32","56","8","7","5","true","10","81.02753929212777"
"13","380","28","57","10","6","5","true","10","89.88066892426318"
"13","410","40","59","10","7","9","true","10","95.44808852930237"
"14","10","20","53","7","4","8","false","10","53.34898345251071"
"14","20","32","57","5","4","5","true","10","67.7080224647805"
"14","70","32","58","8","6","3","true","10","78.75384978748198"
"14","80","40","59","10","5","6","true","10","90.30723234381439"
"14","250","36","55","10","4","8","true","10","90.7253399425548"
"15","10","20","54","8","4","10","false","10","54.51798866656139"
"15","20","20","58","9","5","6","true","10","82.79750862239932"
"15","100","28","56","10","7","6","true","10","86.62893265762338"
"15","270","20","60","10","4","4","true","10","88.27124577824044"
"15","310","24","60","10","8","8","true","10","93.47854085267247"
"16","10","20","55","6","4","4","true","10","65.04763993243802"
"16","20","20","56","5","9","3","true","10","67.46789471647703"
"16","30","20","59","7","7","8","true","10","76.79613795117083"
"16","80","24","51","10","7","10","true","10","88.64244277932832"
"17","10","24","52","10","8","3","true","10","77.4007644398467"
"17","80","32","57","8","9","10","true","10","81.43647431357752"
"17","370","20","55","8","8","8","true","10","83.18225948152518"
"17","390","24","54","9","6","7","true","10","83.83982735317907"
"18","10","28","59","5","9","7","false","10","59.114122068146926"
"18","20","24","52","8","7","8","true","10","75.62948434979663"
"18","50","20","57","7","7","5","true","10","76.21009609539337"
"18","80","20","59","9","7","9","true","10","90.13997657200031"
"18","300","40","60","10","4","9","true","10","91.22089966418247"
"18","360","32","59","10","6","5","true","10","91.97803597472557"
"19","10","32","57","7","4","9","false","10","57.30775224996459"
"19","20","32","59","7","9","8","false","10","59.3657317333609"
"19","30","36","58","10","5","4","true","10","84.355958789954"
"19","100","40","50","10","9","8","true","10","86.51883381753858"
"19","230","40","52","9","8","10","true","10","87.62386417466196"
"19","240","32","54","10","8","8","true","10","88.49659785052317"
"20","10","24","54","7","9","10","false","10","54.389434872440816"
"20","20","20","55","8","9","3","false","10","55.52910348780902"
