"search-number","evaluation","population*","mean-strength*","stddev-strength*","egg-laying-radius*","expected-egg-quantity*","inherit-parent-strength*","num-replicates","best-fitness-so-far"
"1","500","20","60","10","5","5","true","10","89.0366746674216"
"2","500","40","55","10","5","8","true","10","90.13949826015985"
"3","500","28","59","10","4","8","true","10","88.1350067384765"
"4","500","36","50","10","8","10","true","10","88.63395739176822"
"5","500","32","54","10","6","4","true","10","85.3894180777705"
"6","500","24","60","10","4","6","true","10","91.84521467988021"
"7","500","32","54","10","7","8","true","10","89.09485060388369"
"8","500","32","57","10","6","4","true","10","89.95109345247057"
"9","500","32","58","10","7","8","true","10","92.50711176798227"
"10","500","20","59","9","4","8","true","10","88.45161421804941"
"11","500","20","54","10","7","9","true","10","86.02026873734641"
"12","500","32","58","10","5","6","true","10","90.54456281010468"
"13","500","40","59","10","7","9","true","10","95.44808852930237"
"14","500","36","55","10","4","8","true","10","90.7253399425548"
"15","500","24","60","10","8","8","true","10","93.47854085267247"
"16","500","24","51","10","7","10","true","10","88.64244277932832"
"17","500","24","54","9","6","7","true","10","83.83982735317907"
"18","500","32","59","10","6","5","true","10","91.97803597472557"
"19","500","32","54","10","8","8","true","10","88.49659785052317"
"20","500","32","57","10","9","10","true","10","89.69118823904458"
