"search-number","evaluation","population*","mean-strength*","stddev-strength*","egg-laying-radius*","expected-egg-quantity*","inherit-parent-strength*","fitness","num-replicates","best-fitness-so-far"
"1","10","40","58","8","5","5","false","58.51984767670638","10","58.51984767670638"
"1","20","20","51","7","8","5","true","70.22733871658461","10","70.22733871658461"
"1","30","32","54","6","4","4","true","67.09393474133155","10","70.22733871658461"
"1","40","20","52","5","8","7","true","65.85853796295655","10","70.22733871658461"
"1","50","28","53","8","6","8","false","53.546589685916025","10","70.22733871658461"
"1","60","24","54","10","5","5","false","55.38656260008148","10","70.22733871658461"
"1","70","32","56","9","8","4","false","56.441399412420935","10","70.22733871658461"
"1","80","28","51","5","7","5","true","61.718343268279895","10","70.22733871658461"
"1","90","32","59","9","7","8","false","59.461742489065784","10","70.22733871658461"
"1","100","20","56","5","4","8","false","56.28951260050824","10","70.22733871658461"
"1","110","32","59","8","7","6","true","76.52124188102536","10","76.52124188102536"
"1","120","32","54","8","5","3","true","76.3248301632263","10","76.52124188102536"
"1","130","40","60","5","4","6","true","70.63576033496683","10","76.52124188102536"
"1","140","20","50","9","6","4","true","79.33458877314322","10","79.33458877314322"
"1","150","36","58","5","6","9","false","58.11700468882096","10","79.33458877314322"
"1","160","24","57","8","5","4","false","57.587180482899235","10","79.33458877314322"
"1","170","32","57","7","9","4","true","74.8065507896016","10","79.33458877314322"
"1","180","20","59","8","7","10","true","83.80698433811885","10","83.80698433811885"
"1","190","28","60","5","8","5","false","59.88760782643006","10","83.80698433811885"
"1","200","24","55","7","6","6","true","73.21807708892882","10","83.80698433811885"
"1","210","24","52","5","7","8","false","52.365307914964454","10","83.80698433811885"
"1","220","20","60","10","5","5","true","89.0366746674216","10","89.0366746674216"
"1","230","24","57","5","7","6","false","57.11825342419627","10","89.0366746674216"
"1","240","40","52","8","4","7","false","52.3908297257547","10","89.0366746674216"
"1","250","32","55","8","7","6","true","78.63257057918885","10","89.0366746674216"
"1","260","28","50","9","9","6","false","50.91515346370722","10","89.0366746674216"
"1","270","32","55","5","7","10","true","66.2622606660597","10","89.0366746674216"
"1","280","20","50","9","7","10","true","77.96593132779168","10","89.0366746674216"
"1","290","24","53","5","9","7","false","53.220232757639884","10","89.0366746674216"
"1","300","20","52","7","4","8","true","69.85227452040839","10","89.0366746674216"
"1","310","20","55","8","8","7","false","55.34973350706051","10","89.0366746674216"
"1","320","24","53","5","7","7","false","53.18721374629016","10","89.0366746674216"
"1","330","32","57","5","5","3","false","57.07793935962919","10","89.0366746674216"
"1","340","28","53","6","9","6","true","68.03367338149025","10","89.0366746674216"
"1","350","40","51","10","4","10","true","88.59129381980833","10","89.0366746674216"
"1","360","36","58","8","6","3","false","58.98079887293712","10","89.0366746674216"
"1","370","24","50","5","9","3","false","50.326707473555565","10","89.0366746674216"
"1","380","20","52","8","5","10","false","52.46015287686896","10","89.0366746674216"
"1","390","32","59","7","5","7","false","59.25095972368037","10","89.0366746674216"
"1","400","32","59","6","9","6","false","59.213449718264656","10","89.0366746674216"
"1","410","40","50","6","4","6","false","50.43966576636833","10","89.0366746674216"
"1","420","32","51","5","8","7","false","51.06921892832217","10","89.0366746674216"
"1","430","24","53","6","8","8","false","53.282072330232424","10","89.0366746674216"
"1","440","32","50","5","9","5","false","50.235251433996694","10","89.0366746674216"
"1","450","28","55","8","7","9","false","55.64577149242446","10","89.0366746674216"
"1","460","20","58","10","4","7","false","58.89234693756115","10","89.0366746674216"
"1","470","20","54","7","5","10","true","74.38919328792606","10","89.0366746674216"
"1","480","36","50","8","7","7","true","75.08833441219144","10","89.0366746674216"
"1","490","28","57","8","7","6","true","81.53365349833044","10","89.0366746674216"
"1","500","20","52","9","7","3","true","72.73402264597229","10","89.0366746674216"
"2","10","32","52","5","7","10","true","62.19635152054826","10","62.19635152054826"
"2","20","20","53","7","7","5","true","72.03291858819449","10","72.03291858819449"
"2","30","24","53","8","5","7","false","53.48230309974953","10","72.03291858819449"
"2","40","24","60","7","6","8","true","82.04417973622401","10","82.04417973622401"
"2","50","36","56","7","4","7","true","72.43571809210054","10","82.04417973622401"
"2","60","40","54","5","7","5","true","67.14181734624046","10","82.04417973622401"
"2","70","32","50","6","5","7","false","50.381102274542904","10","82.04417973622401"
"2","80","36","59","10","6","8","false","59.71772929711369","10","82.04417973622401"
"2","90","40","50","10","9","10","false","51.03199234126788","10","82.04417973622401"
"2","100","32","57","5","4","5","true","66.09808811667676","10","82.04417973622401"
"2","110","24","51","5","8","5","true","63.78336561797424","10","82.04417973622401"
"2","120","20","57","8","4","5","true","79.15702826201215","10","82.04417973622401"
