"search-number","evaluation","population*","mean-strength*","stddev-strength*","egg-laying-radius*","expected-egg-quantity*","inherit-parent-strength*","num-replicates","best-fitness-so-far"
"1","500","20","52","8","7","3","true","10","37.3"
"2","500","20","54","6","7","3","true","10","41.7"
"3","500","28","56","9","7","3","false","10","42.4"
"4","500","20","54","5","7","3","true","10","42"
"5","500","28","52","5","7","3","true","10","38.8"
"6","500","20","52","7","7","3","true","10","31.2"
"7","500","20","50","9","6","3","false","10","36.1"
"8","500","40","50","6","7","3","false","10","42.1"
"9","500","24","50","8","8","3","false","10","34.8"
"10","500","20","54","7","8","3","true","10","34.2"
"11","500","24","56","10","5","3","false","10","51.3"
"12","500","32","52","8","6","3","false","10","42"
"13","500","28","50","7","9","3","true","10","35.9"
"14","500","32","50","7","8","3","true","10","39.5"
"15","500","24","52","8","8","3","false","10","36.7"
"16","500","20","50","5","7","3","false","10","28"
"17","500","20","50","8","4","3","false","10","42.5"
"18","500","28","54","7","9","3","false","10","33"
"19","500","20","52","8","7","3","true","10","38.2"
"20","500","20","54","8","7","3","false","10","29.5"
