"search-number","evaluation","population*","mean-strength*","stddev-strength*","egg-laying-radius*","expected-egg-quantity*","inherit-parent-strength*","fitness","num-replicates","best-fitness-so-far"
"1","10","20","60","5","7","7","true","417.8","10","417.8"
"1","20","40","57","8","9","4","false","107.5","10","107.5"
"1","30","24","54","10","6","7","true","481.4","10","107.5"
"1","40","36","59","5","6","3","false","72.3","10","72.3"
"1","50","32","52","8","7","4","false","108.1","10","72.3"
"1","60","32","55","10","4","6","false","364.3","10","72.3"
"1","70","40","53","5","4","10","true","946.7","10","72.3"
"1","80","20","52","8","7","3","true","37.3","10","37.3"
"1","90","40","59","8","6","4","false","144","10","37.3"
"1","100","32","59","10","6","5","true","302.1","10","37.3"
"1","110","32","50","8","9","9","true","720.1","10","37.3"
"1","120","28","52","5","7","8","true","516.2","10","37.3"
"1","130","20","56","7","7","7","true","426.6","10","37.3"
"1","140","32","50","6","6","10","true","816.4","10","37.3"
"1","150","32","55","6","7","10","true","874.4","10","37.3"
"1","160","28","55","5","4","10","true","969.2","10","37.3"
"1","170","20","59","7","7","8","true","646.1","10","37.3"
"1","180","36","50","7","6","6","false","259.3","10","37.3"
"1","190","28","53","5","4","3","true","63.4","10","37.3"
"1","200","32","52","10","8","4","true","118.7","10","37.3"
"1","210","32","58","10","4","4","false","150.3","10","37.3"
"1","220","36","53","5","8","9","true","735.8","10","37.3"
"1","230","36","60","5","5","3","true","73.8","10","37.3"
"1","240","20","50","7","7","9","false","489.3","10","37.3"
"1","250","24","52","6","7","6","true","283.8","10","37.3"
"1","260","36","57","7","9","9","true","782.2","10","37.3"
"1","270","28","57","7","7","9","false","667.5","10","37.3"
"1","280","24","60","7","9","7","false","379.9","10","37.3"
"1","290","32","55","7","6","4","true","126.9","10","37.3"
"1","300","24","50","10","8","3","true","38","10","37.3"
"1","310","28","57","9","6","6","true","352.3","10","37.3"
"1","320","24","50","9","7","5","false","133.1","10","37.3"
"1","330","40","51","6","6","7","false","371","10","37.3"
"1","340","40","56","5","6","10","false","934.2","10","37.3"
"1","350","20","56","8","4","4","true","142","10","37.3"
"1","360","32","53","6","7","8","true","557.5","10","37.3"
"1","370","36","58","8","4","9","true","940.9","10","37.3"
"1","380","36","52","9","5","9","false","596.9","10","37.3"
"1","390","32","58","8","7","3","false","56","10","37.3"
